Task ID,Task Name,Description,Status,Priority,Due Date,Sprint,Feature Area,Tags,GitHub Repo,GitHub Branch,GitHub Commit,Demo Notes
RF-001,Confirm Sprint 1 scope and ClickUp workspace,"Create the ClickUp location for Rediscovering Faith, confirm statuses, import Sprint 1 tasks, and attach the GitHub repo URL. Acceptance criteria: ClickUp structure exists; statuses are Backlog, Ready, In Progress, Review, Done; Sprint 1 tasks are imported; GitHub repo is attached.",Ready,High,2026-07-13,Sprint 1,Project Management,"sprint-1,planning,clickup",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-002,Create product requirements summary,"Document the problem statement, target users, MVP feature list, and out-of-scope items for Sprint 1.",Ready,High,2026-07-13,Sprint 1,Planning,"sprint-1,planning,docs",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-003,Create Supabase project and capture environment values,"Create the Supabase project, add URL and anon key to local .env.local, verify .env.example, and keep real secrets out of Git.",Ready,High,2026-07-14,Sprint 1,Supabase,"sprint-1,supabase,setup",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-004,Add Supabase client utilities,"Add TypeScript-friendly Supabase client helpers for browser usage and server usage if required by the auth approach. Missing environment variables should fail clearly during development.",Backlog,High,2026-07-14,Sprint 1,Supabase,"sprint-1,supabase,frontend",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-005,Draft initial database schema,"Plan tables for profiles, podcasts, episodes, and transcript segments. Document primary keys, relationships, and row-level security expectations.",Backlog,High,2026-07-14,Sprint 1,Database,"sprint-1,database,supabase",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-006,Build app shell and navigation,"Create the shared app shell with header/navigation, responsive layout, core route links, and styling that matches the capstone visual direction.",Backlog,High,2026-07-15,Sprint 1,Frontend,"sprint-1,ui,nextjs",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-007,Build authentication screens,"Create sign in and sign up pages with clear form states. Connect to Supabase auth or prepare the flow for connection once keys exist.",Backlog,High,2026-07-15,Sprint 1,Authentication,"sprint-1,auth,supabase",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-008,Implement basic authenticated user flow,"Detect user session, render signed-in and signed-out states, provide sign out, and document or implement protected page behavior.",Backlog,High,2026-07-16,Sprint 1,Authentication,"sprint-1,auth,session",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-009,Create podcast list page,"Create the podcast list route with sample podcast data, empty/loading states, and responsive layout.",Backlog,High,2026-07-16,Sprint 1,Podcasts,"sprint-1,podcasts,nextjs",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-010,Create podcast detail page,"Create the podcast detail route with podcast title, description, episode list, and navigation from list to detail.",Backlog,Normal,2026-07-16,Sprint 1,Podcasts,"sprint-1,podcasts,nextjs",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-011,Create episode detail page,"Create the episode detail route with episode metadata, audio placeholder or player area, and transcript link or section.",Backlog,High,2026-07-17,Sprint 1,Episodes,"sprint-1,episodes,nextjs",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-012,Build transcript display,"Display transcript content in timestamped segments with a readable layout that leaves room for future timestamped comments.",Backlog,High,2026-07-17,Sprint 1,Transcripts,"sprint-1,transcripts,ui",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-013,Add seed/sample content,"Add sample podcast, episode, and transcript data isolated from production data so it can support screenshots and review.",Backlog,Normal,2026-07-17,Sprint 1,Data,"sprint-1,sample-data,demo",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-014,Add first testing plan,"Document the Sprint 1 testing approach and candidate tests for auth, routing, and transcript rendering. Capture deferred test setup as Sprint 2 prep if needed.",Backlog,Normal,2026-07-18,Sprint 1,Testing,"sprint-1,testing,docs",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-015,Complete Sprint 1 QA pass,"Check desktop and mobile widths, verify navigation paths, and confirm npm run lint and npm run build pass.",Backlog,High,2026-07-18,Sprint 1,QA,"sprint-1,qa,verification",https://github.com/evan-ryder1/rediscovering-faith,,,
RF-016,Write Sprint 1 recap,"Add a Sprint 1 summary to the repo with completed features, screenshots or demo notes, and GitHub/ClickUp progress suitable for instructors or employers.",Backlog,High,2026-07-19,Sprint 1,Portfolio,"sprint-1,portfolio,docs",https://github.com/evan-ryder1/rediscovering-faith,,,
